"","Bank_Name","city_name","employees"
"147","E.Sun Financial","Taipei","8,511"
"148","Evo Banco","Madrid","200"
"149","Federal Bank","Kerala","12,592"
"150","Fidor","Munich","104"
"151","Fineco Bank","Milano","1,336"
"152","Fintro","Brussels","1,300"
"153","First Abu Dhabi Bank","Abu Dhabi","13,684"
"154","First Commonwealth Bank","Indiana","1,578"
"155","First Community Bank (VA)","Bluefield","608"
"156","First Direct","Leeds","3,000"
"157","First Hawaiian Bank","Honolulu","2,000"
"158","First Horizon Bank","Memphis","8,466"
"159","First International Bank of Israel","Tel Aviv-Jaffa","3,650"
"160","First Merchants","Muncie","2,120"
"161","First Midwest Bank","Chicago","2,122"
"162","First National Bank of Omaha","Omaha","5,000"
"163","First National Bank (PA)","Pittsburgh","4,200"
"164","FirstBank (CO)","Lakewood","1,852"
"165","FNB First National Bank","Johannesburg","38,221"
"166","Fortuneo","Paris","9,000"
"167","Frankfurter Sparkasse","Frankfurt (on the Main)","1,595"
"168","Fulton Bank","Lancaster","3,500"
"169","Gate City Bank","Fargo","663"
"170","Glacier Bancorp","Kalispell","2,837"
"171","Great Southern Bank","Springfield","1,023"
"172","Greater Bank","Hamilton","750"
"173","Hachijuni Bank","Nagano City","3,067"
"174","Halifax","Edinburgh","61,576"
"175","HDFC Bank","Mumbai","120,093"
"176","Hello bank!","Paris","70,000"
"177","Heritage Bank","Toowomba Qld","809"
"178","hey, banco","Nuevo Leon","1,300"
"179","HSBC Holdings","Birmingham","219,001"
"180","Huntington Bank","Columbus","15,537"
"181","Hyakugo Bank","Tsu (Mie)","2,470"
"182","IBC Bank","Laredo","3,000"
"183","ibq","Doha",""
"184","ICBC","Beijing","434,089"
"185","ICICI Bank","Mumbai","99,319"
"186","IDFC Bank","Mumbai","24,169"
"187","Illimity","Milano","725"
"188","Imagin bank","Barcelona",""
"189","India Post Payments Bank","New Delhi","1,800"
"190","IndusInd Bank","Mumbai","29,661"
"191","Industrial Bank ","Fujian Province","59,630"
"192","Industrial Bank of Korea","Seoul","13,256"
"193","ING Group","Amsterdam","8,000"
"194","Inteligo","Zamość","25,657"
"195","Intesa Sanpaolo","Torino","108,043"
"196","Iyo Bank","Matsuyama","3,071"
